essential,gene
True,RT_11178
True,RT_10228
True,RT_8777
True,RT_14377
True,RT_9250
True,RT_8758
True,RT_15482
True,RT_12635
True,RT_13206
True,RT_13617
True,RT_12093
True,RT_14185
True,RT_14237
True,RT_16695
True,RT_14554
True,RT_15252
True,RT_12099
True,RT_13348
True,RT_14666
True,RT_9704
True,RT_10613
True,RT_13484
True,RT_8707
True,RT_11878
True,RT_14718
True,RT_12843
True,RT_9144
True,RT_11411
True,RT_9589
True,RT_8651
True,RT_12653
True,RT_10430
True,RT_15600
True,RT_9348
True,RT_10674
True,RT_13017
True,RT_9689
True,RT_9979
True,RT_8575
True,RT_15506
True,RT_9300
True,RT_16225
True,RT_15184
True,RT_12421
True,RT_13190
True,RT_9283
True,RT_15179
True,RT_12122
True,RT_12965
True,RT_15967
True,RT_9084
True,RT_11375
True,RT_13899
True,RT_12291
True,RT_11117
True,RT_13230
True,RT_12731
True,RT_12485
True,RT_15496
True,RT_9240
True,RT_11844
True,RT_13260
True,RT_10213
True,RT_8835
True,RT_11114
True,RT_12495
True,RT_8916
True,RT_8814
True,RT_8670
True,RT_15167
True,RT_11542
True,RT_15518
True,RT_16037
True,RT_13002
True,RT_12470
True,RT_11403
True,RT_16144
True,RT_16397
True,RT_16640
True,RT_14159
True,RT_9210
True,RT_12446
True,RT_14418
True,RT_16359
True,RT_12497
True,RT_12704
True,RT_11867
True,RT_8536
True,RT_15947
True,RT_12159
True,RT_9604
True,RT_9905
True,RT_15879
True,RT_10113
True,RT_8395
True,RT_13288
True,RT_10303
True,RT_11202
True,RT_10673
True,RT_15805
True,RT_15942
True,RT_14565
True,RT_14261
True,RT_10460
True,RT_13446
True,RT_14179
True,RT_15420
True,RT_8969
True,RT_14001
True,RT_13137
True,RT_13630
True,RT_8639
True,RT_14096
True,RT_14499
True,RT_15351
True,RT_9742
True,RT_14225
True,RT_11971
True,RT_11702
True,RT_9079
True,RT_12944
True,RT_9180
True,RT_12387
True,RT_9241
True,RT_8878
True,RT_16404
True,RT_13740
True,RT_16484
True,RT_14956
True,RT_13424
True,RT_14717
True,RT_14252
True,RT_13249
True,RT_15060
True,RT_8446
True,RT_13380
True,RT_13432
True,RT_12158
True,RT_15109
True,RT_15314
True,RT_11967
True,RT_8702
True,RT_11681
True,RT_8677
True,RT_14849
True,RT_11217
True,RT_16666
True,RT_12855
True,RT_10040
True,RT_15158
True,RT_10246
True,RT_15585
True,RT_11629
True,RT_11307
True,RT_14786
True,RT_16564
True,RT_15589
True,RT_9855
True,RT_15864
True,RT_15756
True,RT_13286
True,RT_10079
True,RT_9940
True,RT_11583
True,RT_13948
True,RT_13214
True,RT_15556
True,RT_15137
True,RT_12881
True,RT_9830
True,RT_12736
True,RT_12170
True,RT_15141
True,RT_13398
True,RT_9705
